"mLKL_Phe_Gen";"mLKL_Phe_Gen_Index";"mLKL_GRL"
"379";-31.4562196147644;-30.8554729578682;-0.600746656896177
"382";-28.5504343847316;-25.3780181332534;-3.17241625147818
"383";-27.0393860949304;-21.9617769601211;-5.07760913480934
"384";-27.5721419399972;-26.8568446049837;-0.715297335013524
"387";-34.8753668384875;-27.0453302069345;-7.83003663155299
"388";-22.1949304843776;-19.9511845826104;-2.24374590176717
"389";-17.3393040936484;-16.6070736971698;-0.732230396478549
"390";-11.5634379554037;-10.8591452884183;-0.704292666985431
"391";-14.831269806252;-13.3076806195149;-1.52358918673709
"395";-15.1598784576959;-14.2090955983838;-0.950782859312115
"403";-12.4319968109977;-10.3566056035856;-2.07539120741216
"404";-15.6349425175734;-14.751863538843;-0.883078978730437
"459";-18.6015560231833;-17.1780299793108;-1.4235260438725
"461";-20.7633484956403;-20.5341148033358;-0.229233692304501
"21";-24.215998403271;-22.4674139258703;-1.74858447740063
"25";-34.1181617047159;-32.5602178278954;-1.55794387682054
"26";-39.5005183965512;-39.3525337504688;-0.147984646082392
"283";-7.69701369445284;-6.9811908404896;-0.715822853963231
"411";-18.5326108493622;-17.1326349379681;-1.3999759113941
"430";-13.3567288300482;-11.9856040179167;-1.37112481213147
"431";-14.1528603112666;-13.4527101177127;-0.700150193553959
"432";-14.6147793168141;-12.2336810494225;-2.38109826739156
"8";-30.2020021363835;-26.5119809608057;-3.6900211755778
"9";-25.3611293849726;-23.6652151658524;-1.69591421912021
"217";-21.0604904474475;-20.1659010033615;-0.894589444085984
"220";-16.3623330485004;-13.4178832411167;-2.94444980738374
"222";-17.9141260786482;-16.5193067587788;-1.39481931986941
"223";-8.52893081251517;-7.84156631718633;-0.687364495328838
"224";-11.4664075248414;-10.7723475546836;-0.694059970157891
"225";-17.8612195525;-17.1624990995562;-0.698720452943817
"226";-18.4301810070745;-17.7459136886265;-0.684267318448018
"228";-24.9256790714413;-23.5455064525477;-1.38017261889352
"229";-27.0281580882691;-24.2577403931058;-2.77041769516329
"230";-14.5168361257535;-13.8458431779274;-0.670992947826035
"233";-17.6823967518157;-16.1588091021648;-1.52358764965093
"234";-23.3801593891383;-19.9390491820173;-3.44111020712103
"237";-12.5747789112187;-11.8857045140156;-0.689074397203107
"239";-7.57583037760298;-6.88641127838661;-0.689419099216374
"240";-14.0892856179067;-13.3977542035336;-0.691531414373086
"246";-9.69109054148533;-8.31902986618107;-1.37206067530425
"247";-25.1658370819161;-22.906434659335;-2.25940242258114
"248";-32.3151037053629;-30.3101068707676;-2.00499683459526
"249";-24.1465252042083;-23.4373437726896;-0.709181431518704
"251";-19.1656578377483;-16.2507205219149;-2.91493731583334
"252";-26.6249024043662;-25.903048099516;-0.721854304850176
"253";-17.0172029201857;-13.3561316691228;-3.66107125106287
"254";-20.3227686348744;-20.1698526289925;-0.152916005881941
"259";-17.3444018034716;-15.3117758048691;-2.0326259986025
"260";-12.9268703922031;-12.241012164516;-0.685858227687117
"261";-20.4413865787993;-18.2719059461435;-2.16948063265584
"262";-14.6113980526595;-13.9200939703653;-0.691304082294204
"263";-16.5646682852164;-14.4689426223854;-2.09572566283102
"264";-16.3125540899986;-15.6260224360527;-0.686531653945892
"267";-11.9492138636996;-10.5762327854499;-1.37298107824979
"270";-17.2301478589876;-16.5392367301285;-0.690911128859192
"271";-22.7268005655469;-21.3008349734705;-1.42596559207642
"298";-22.1758152383871;-21.5138942727269;-0.661920965660151
"300";-47.306331241713;-43.8050796649846;-3.50125157672839
"301";-27.0354192534417;-24.1656941581124;-2.8697250953293
"303";-32.9416928090148;-31.736587810874;-1.20510499814073
"318";-12.8523803895715;-11.2825191686843;-1.56986122088725
